type,frequency,target,result,status,is_primary,start_date,end_date,created_on,edited_on
ACTIVE_ZONE_MINUTES_GOAL,DAILY,22.0,null,null,false,null,null,null,null
CALORIES_BURNED_GOAL,DAILY,2387.0,106.0,INPROGRESS_SO_FAR_MISSED,false,2026-02-03,2026-02-04,2025-08-13T05:31:46.000+00:00,null
STEPS_GOAL,DAILY,10000.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2026-02-03,2026-02-04,2025-08-13T05:31:46.000+00:00,null
FLOORS_CLIMBED_GOAL,DAILY,10.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2025-08-12,2025-08-13,2025-08-13T05:31:46.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,DAILY,5.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2026-02-03,2026-02-04,2025-08-13T05:31:46.000+00:00,null
ACTIVE_MINUTES_GOAL,DAILY,30.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2026-02-03,2026-02-04,2025-08-13T05:31:46.000+00:00,null
STEPS_GOAL,WEEKLY,70000.0,501.0,INPROGRESS_SO_FAR_MISSED,true,2026-02-01,2026-02-08,2025-08-13T05:31:46.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,WEEKLY,35.0,0.226198,INPROGRESS_SO_FAR_MISSED,false,2026-02-01,2026-02-08,2025-08-13T05:31:46.000+00:00,null
FLOORS_CLIMBED_GOAL,WEEKLY,70.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2025-08-10,2025-08-17,2025-08-13T05:31:46.000+00:00,null
CALORIES_BURNED_GOAL,WEEKLY,16709.0,220.0,INPROGRESS_SO_FAR_MISSED,false,2026-02-01,2026-02-08,2025-08-13T05:31:46.000+00:00,null
WATER_GOAL,DAILY,1893.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2025-08-10,2025-08-17,2025-08-13T05:31:46.000+00:00,null
