exercise_id,exercise_start,exercise_end,utc_offset,exercise_created,exercise_last_updated,activity_name,log_type,pool_length,pool_length_unit,intervals,distance_units,tracker_total_calories,tracker_total_steps,tracker_total_distance_mm,tracker_total_altitude_mm,tracker_avg_heart_rate,tracker_peak_heart_rate,tracker_avg_pace_mm_per_second,tracker_avg_speed_mm_per_second,tracker_peak_speed_mm_per_second,tracker_auto_stride_run_mm,tracker_auto_stride_walk_mm,tracker_swim_lengths,tracker_pool_length,tracker_pool_length_unit,tracker_cardio_load,manually_logged_total_calories,manually_logged_total_steps,manually_logged_total_distance_mm,manually_logged_pool_length,manually_logged_pool_length_unit,events,activity_type_probabilities,autodetected_confirmed,autodetected_start_timestamp,autodetected_end_timestamp,autodetected_utc_offset,autodetected_activity_name,autodetected_sensor_based_activity_name,deletion_reason,activity_label,suggested_start_timestamp,suggested_end_timestamp,reconciliation_status
1022816510240374344,2025-09-28 16:56:30+0000,2025-09-28 17:04:11+0000,-07:00,2025-09-28 21:06:01+0000,2025-09-28 21:06:01+0000,Outdoor Run,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
1032524633219912872,2025-10-30 15:00:09+0000,2025-10-30 15:06:58+0000,-07:00,2025-10-30 15:20:21+0000,2025-10-30 15:20:21+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
1034885961283906624,2025-09-10 20:46:37+0000,2025-09-10 20:55:08+0000,-07:00,2025-09-10 21:05:21+0000,2025-09-10 21:05:21+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
1036928552781413184,2026-01-27 20:25:04+0000,2026-01-27 20:31:54+0000,-08:00,2026-01-27 20:37:12+0000,2026-01-27 20:37:12+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
107550841158848968,2025-10-06 19:55:03+0000,2025-10-06 20:01:52+0000,-07:00,2025-10-06 20:13:48+0000,2025-10-06 20:13:48+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
1098964161884270248,2025-09-21 06:01:26+0000,2025-09-21 06:24:28+0000,-07:00,2025-09-21 15:06:29+0000,2025-09-21 15:06:29+0000,Outdoor Walk,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
1115456302826930160,2025-09-16 17:59:22+0000,2025-09-16 18:05:21+0000,-07:00,2025-09-16 18:21:38+0000,2025-09-16 18:21:38+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
1115743546203448568,2026-01-23 03:49:58+0000,2026-01-23 03:55:58+0000,-08:00,2026-01-23 04:07:53+0000,2026-01-23 04:07:53+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
1136725145132324528,2025-09-21 20:18:12+0000,2025-09-21 21:37:35+0000,-07:00,2025-09-21 21:49:18+0000,2025-09-21 21:49:18+0000,Aerobic Workout,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
1139033424252215432,2025-08-18 03:35:12+0000,2025-08-18 03:56:18+0000,-07:00,2025-08-18 03:56:32+0000,2025-08-18 03:56:32+0000,Outdoor Walk,TRACKER,0,UNSPECIFIED,,IMPERIAL,116,1666,1175125,0,80,114,0,118784,398,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
1166193093566735224,2025-10-29 04:59:44+0000,2025-10-29 05:07:25+0000,-07:00,2025-10-29 15:41:16+0000,2025-10-29 15:41:16+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
1189739030089054616,2025-10-24 05:12:02+0000,2025-10-24 05:20:35+0000,-07:00,2025-10-24 05:34:39+0000,2025-10-24 05:34:39+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
1216794864872748800,2025-10-20 15:02:34+0000,2025-10-20 15:11:05+0000,-07:00,2025-10-20 15:17:59+0000,2025-10-20 15:17:59+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
1249375624554955840,2025-11-09 17:07:23+0000,2025-11-09 17:52:36+0000,-08:00,2025-11-09 19:22:53+0000,2025-11-09 19:22:53+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
1321321254692584680,2025-09-29 23:26:24+0000,2025-09-29 23:47:51+0000,-07:00,2025-09-29 23:34:24+0000,2025-09-29 23:48:02+0000,Weightlifting,TRACKER,0,UNSPECIFIED,,IMPERIAL,68,308,175329,0,94,132,0,17408,454,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
1323196540247521552,2025-08-14 02:56:40+0000,2025-08-14 03:09:33+0000,-07:00,2025-08-14 03:16:43+0000,2025-08-14 03:16:43+0000,Outdoor Run,TRACKER,0,UNSPECIFIED,,IMPERIAL,144,2009,2471289,0,162,178,0,410112,1034,1280,724,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
133746199399995040,2025-09-30 02:49:09+0000,2025-09-30 03:00:15+0000,-07:00,2025-09-30 03:04:39+0000,2025-09-30 03:04:39+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
1348591119261057088,2026-01-19 20:21:33+0000,2026-01-19 20:27:31+0000,-08:00,2026-01-19 20:36:06+0000,2026-01-19 20:36:06+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
1352824500067794176,2025-11-14 18:40:37+0000,2025-11-14 19:39:25+0000,-08:00,2025-11-14 18:43:27+0000,2025-11-14 19:39:35+0000,Weightlifting,TRACKER,0,UNSPECIFIED,,IMPERIAL,248,1099,624133,0,103,146,0,22528,454,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
1377446950994534568,2025-12-18 21:02:51+0000,2025-12-18 21:19:55+0000,-08:00,2025-12-21 20:02:00+0000,2025-12-21 20:02:00+0000,Outdoor Walk,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
