value_time,setting_name,setting_value
2026-01-28 20:37:09+0000,activity state,sedentary
2026-01-28 20:37:09+0000,auto run enabled,true
2026-01-28 20:37:09+0000,auto stride enabled,true
2026-01-28 20:37:09+0000,body constitution,regular
2026-01-28 20:37:09+0000,is nursing,false
2026-01-28 20:37:09+0000,pregnant state,not pregnant
2026-01-28 20:37:09+0000,sleep proc algorithm,composite
2026-01-28 20:37:09+0000,stride length running,1283
2026-01-28 20:37:09+0000,stride length walking,0
2026-02-21 17:58:37+0000,sedentary prune time,2026-02-21T00:00:00.0Z
2026-02-21 20:43:37+0000,hr scaling sleep rest,"[2026-02-21] Current: 0.84, [2026-02-20] Previous: 0.83"
