timestamp,bucket_values
2025-10-01T06:51:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.003, 0.007, 0.012, 0.029, 0.068, 0.141, 0.191, 0.21, 0.171, 0.095, 0.043, 0.018, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-02T06:42:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.006, 0.004, 0.01, 0.025, 0.063, 0.144, 0.214, 0.2, 0.15, 0.094, 0.049, 0.022, 0.01, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-03T07:11:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.005, 0.013, 0.07, 0.206, 0.236, 0.195, 0.126, 0.072, 0.037, 0.019, 0.01, 0.004, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-04T07:29:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.006, 0.067, 0.174, 0.192, 0.16, 0.13, 0.118, 0.075, 0.039, 0.02, 0.009, 0.003, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-05T06:36:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.002, 0.009, 0.022, 0.051, 0.116, 0.195, 0.235, 0.179, 0.107, 0.048, 0.021, 0.008, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-06T07:02:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.004, 0.007, 0.025, 0.068, 0.145, 0.245, 0.227, 0.148, 0.074, 0.031, 0.013, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-07T07:27:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.003, 0.005, 0.015, 0.042, 0.069, 0.119, 0.172, 0.202, 0.164, 0.1, 0.054, 0.029, 0.012, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-08T07:03:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.006, 0.02, 0.081, 0.154, 0.196, 0.169, 0.117, 0.086, 0.065, 0.049, 0.03, 0.013, 0.006, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-09T07:01:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.015, 0.063, 0.13, 0.197, 0.214, 0.177, 0.109, 0.052, 0.022, 0.009, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-10T07:18:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.006, 0.011, 0.025, 0.066, 0.131, 0.192, 0.21, 0.174, 0.108, 0.045, 0.016, 0.006, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-10T22:33:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.017, 0.064, 0.158, 0.171, 0.144, 0.1, 0.076, 0.078, 0.066, 0.058, 0.036, 0.016, 0.007, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-11T07:04:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.004, 0.006, 0.011, 0.032, 0.085, 0.186, 0.26, 0.216, 0.119, 0.05, 0.017, 0.007, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-12T00:44:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.006, 0.039, 0.115, 0.18, 0.252, 0.2, 0.123, 0.054, 0.02, 0.007, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-12T07:29:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.002, 0.004, 0.013, 0.029, 0.071, 0.144, 0.192, 0.185, 0.154, 0.102, 0.056, 0.027, 0.01, 0.005, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0]"
2025-10-13T07:34:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.007, 0.016, 0.084, 0.254, 0.285, 0.183, 0.09, 0.045, 0.019, 0.009, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-14T07:05:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.002, 0.003, 0.004, 0.007, 0.019, 0.042, 0.075, 0.132, 0.179, 0.194, 0.151, 0.096, 0.057, 0.026, 0.009, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-15T06:58:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.004, 0.007, 0.017, 0.044, 0.104, 0.163, 0.179, 0.168, 0.132, 0.085, 0.05, 0.025, 0.01, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-16T06:51:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.005, 0.014, 0.032, 0.059, 0.103, 0.156, 0.166, 0.142, 0.121, 0.088, 0.056, 0.032, 0.016, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-17T09:05:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.001, 0.009, 0.039, 0.094, 0.177, 0.185, 0.142, 0.116, 0.097, 0.066, 0.045, 0.02, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-18T06:45:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.011, 0.019, 0.042, 0.071, 0.094, 0.105, 0.132, 0.155, 0.146, 0.106, 0.063, 0.033, 0.013, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-19T07:26:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.008, 0.047, 0.103, 0.126, 0.141, 0.155, 0.153, 0.121, 0.079, 0.039, 0.016, 0.006, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-20T06:53:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.005, 0.007, 0.012, 0.027, 0.062, 0.147, 0.229, 0.221, 0.154, 0.076, 0.035, 0.013, 0.005, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-21T07:29:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.007, 0.016, 0.032, 0.071, 0.149, 0.243, 0.218, 0.14, 0.073, 0.03, 0.011, 0.004, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-22T06:46:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.006, 0.015, 0.052, 0.122, 0.223, 0.253, 0.169, 0.087, 0.039, 0.017, 0.005, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-23T03:42:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.006, 0.032, 0.112, 0.249, 0.279, 0.179, 0.083, 0.034, 0.014, 0.005, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-23T07:23:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.005, 0.024, 0.081, 0.166, 0.208, 0.187, 0.141, 0.089, 0.051, 0.025, 0.012, 0.005, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
