timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2026-01-01T05:47:00,17.2,1.0,13.39,17.2,1.0,13.39,16.4,2.1,11.524,16.4,1.4,4.16
2026-01-01T07:14:00,16.8,1.4,16.591,16.8,1.4,16.591,16.4,2.1,9.175,16.0,0.7,2.683
2026-01-02T07:37:00,17.6,1.3,13.55,17.6,1.3,13.55,16.8,1.2,16.827,-1.0,0.0,2.014
2026-01-03T07:45:30,18.0,1.5,15.061,18.0,1.5,15.061,17.6,0.8,13.23,15.4,1.2,2.896
2026-01-04T08:41:30,17.6,1.1,12.121,17.6,1.1,12.121,17.4,2.0,12.188,-1.0,0.0,2.124
2026-01-05T07:05:00,17.4,1.2,8.273,17.4,1.2,8.273,17.0,1.5,10.584,17.0,0.7,3.299
2026-01-06T07:31:00,16.8,1.4,14.93,16.8,1.4,14.93,16.6,1.8,9.006,-1.0,0.0,1.908
2026-01-07T07:53:30,18.0,0.9,14.803,18.0,0.9,14.803,16.8,1.6,11.418,-1.0,0.0,2.281
2026-01-08T08:24:00,18.2,1.8,8.081,18.2,1.8,8.081,16.6,2.5,11.191,-1.0,0.0,2.342
2026-01-09T09:11:30,17.2,1.5,11.903,17.2,1.5,11.903,16.8,1.6,11.654,17.4,2.3,7.289
2026-01-10T09:55:30,17.6,1.1,10.235,17.6,1.1,10.235,16.8,1.6,8.842,16.6,2.7,4.87
2026-01-11T08:44:30,17.8,1.1,7.045,17.8,1.1,7.045,17.6,1.6,8.423,-1.0,0.0,1.89
2026-01-12T07:02:30,17.6,1.1,12.19,17.6,1.1,12.19,16.8,2.3,13.935,15.2,1.4,3.067
2026-01-13T08:29:30,17.2,0.8,8.839,17.2,0.8,8.839,16.4,1.3,10.744,17.8,1.1,4.125
2026-01-14T07:13:30,17.0,1.4,13.865,17.0,1.4,13.865,17.0,1.7,13.485,16.2,0.4,3.191
2026-01-15T08:43:30,17.0,0.9,10.099,17.0,0.9,10.099,16.8,1.7,11.732,18.6,0.7,3.306
2026-01-16T07:52:00,17.8,1.0,14.767,17.8,1.0,14.767,16.8,1.7,8.308,10.6,0.9,2.61
2026-01-17T08:05:30,18.4,1.6,6.954,18.4,1.6,6.954,18.0,1.6,7.219,17.4,1.5,2.999
2026-01-18T07:39:00,17.4,1.6,6.947,-1.0,0.0,1.365,17.4,1.6,6.947,15.6,0.9,3.743
2026-01-19T05:44:00,19.2,1.1,7.323,19.2,1.1,7.323,19.0,1.2,6.139,-1.0,0.0,1.897
2026-01-19T09:15:30,19.4,0.7,4.593,19.4,0.7,4.593,17.6,1.6,7.774,-1.0,0.0,2.431
2026-01-20T08:59:30,16.4,1.3,7.764,16.4,1.3,7.764,16.2,1.8,13.435,-1.0,0.0,1.774
2026-01-21T07:04:30,17.0,1.1,13.318,17.0,1.1,13.318,16.6,1.5,12.901,16.2,2.5,7.337
2026-01-22T09:03:00,16.8,1.4,11.743,16.8,1.4,11.743,17.2,1.5,10.721,-1.0,0.0,1.766
2026-01-23T08:06:00,16.4,1.4,7.641,16.4,1.4,7.641,15.4,1.7,12.098,15.8,1.4,2.849
2026-01-24T10:07:30,17.4,1.1,7.831,17.4,1.1,7.831,16.6,1.5,16.07,14.8,1.2,2.733
2026-01-25T10:58:30,16.6,1.4,11.57,16.6,1.4,11.57,15.2,1.5,8.087,11.4,0.8,4.411
2026-01-26T07:41:30,17.8,1.3,9.741,17.8,1.3,9.741,17.4,1.6,12.087,-1.0,0.0,1.496
2026-01-27T09:08:00,16.8,1.7,10.753,16.8,1.7,10.753,16.2,1.7,11.105,13.2,0.7,2.553
2026-01-28T09:10:00,17.0,1.4,13.097,17.0,1.4,13.097,16.8,1.6,13.364,-1.0,0.0,2.475
2026-01-29T06:27:00,17.8,1.1,8.191,17.8,1.1,8.191,17.6,1.4,12.434,16.0,0.6,2.578
2026-01-30T10:00:30,17.4,1.2,9.427,17.4,1.2,9.427,16.8,1.9,11.44,-1.0,0.0,1.66
2026-01-31T09:58:30,17.2,1.1,10.429,17.2,1.1,10.429,17.2,1.6,16.79,-1.0,0.0,1.911
