timestamp,average_value,lower_bound,upper_bound
2025-08-13T00:00:00Z,96.1,94.3,97.4
2025-08-14T00:00:00Z,96.8,95.7,97.8
2025-08-15T00:00:00Z,96.4,95.5,97.4
2025-08-16T00:00:00Z,97.2,95.9,99.4
2025-08-17T00:00:00Z,95.8,94.5,96.6
2025-08-18T00:00:00Z,96.0,94.8,97.0
2025-08-19T00:00:00Z,96.3,95.2,97.2
2025-08-20T00:00:00Z,96.9,95.8,98.0
2025-08-21T00:00:00Z,96.4,95.2,97.4
2025-08-22T00:00:00Z,96.0,94.5,97.7
2025-08-24T00:00:00Z,95.7,94.7,96.6
2025-08-25T00:00:00Z,96.3,95.4,97.1
2025-08-26T00:00:00Z,96.4,95.0,98.2
2025-08-27T00:00:00Z,95.5,94.3,96.7
2025-08-28T00:00:00Z,95.7,93.7,97.3
2025-08-29T00:00:00Z,95.4,94.9,96.0
2025-08-30T00:00:00Z,96.0,95.0,96.6
2025-08-31T00:00:00Z,95.9,93.6,97.5
2025-09-01T00:00:00Z,96.0,94.0,97.0
2025-09-02T00:00:00Z,95.8,93.3,98.3
2025-09-03T00:00:00Z,96.3,94.1,97.5
2025-09-04T00:00:00Z,96.3,94.2,98.0
2025-09-05T00:00:00Z,98.5,98.2,99.1
2025-09-06T00:00:00Z,95.0,93.6,96.5
2025-09-07T00:00:00Z,96.0,94.5,97.4
2025-09-08T00:00:00Z,97.0,95.7,98.9
2025-09-09T00:00:00Z,96.2,94.4,97.2
2025-09-10T00:00:00Z,95.8,94.9,96.3
2025-09-11T00:00:00Z,96.2,95.1,97.4
2025-09-12T00:00:00Z,95.6,94.2,96.6
2025-09-13T00:00:00Z,95.7,95.0,96.5
2025-09-14T00:00:00Z,95.4,94.0,96.8
2025-09-15T00:00:00Z,95.6,94.8,96.2
2025-09-16T00:00:00Z,96.1,94.6,97.2
2025-09-17T00:00:00Z,95.3,94.2,96.6
2025-09-18T00:00:00Z,98.8,98.2,99.3
2025-09-19T00:00:00Z,94.7,92.4,96.3
2025-09-20T00:00:00Z,96.5,95.0,97.6
2025-09-21T00:00:00Z,95.9,93.7,98.3
2025-09-22T00:00:00Z,93.6,91.9,95.2
2025-09-23T00:00:00Z,95.6,94.1,96.4
2025-09-24T00:00:00Z,94.8,92.7,96.2
2025-09-26T00:00:00Z,95.2,94.1,96.4
2025-09-27T00:00:00Z,95.6,93.0,97.1
2025-09-28T00:00:00Z,95.6,94.1,96.5
2025-09-29T00:00:00Z,95.6,92.8,100.0
2025-09-30T00:00:00Z,96.7,93.1,99.2
2025-10-02T00:00:00Z,95.0,92.6,96.3
2025-10-03T00:00:00Z,95.3,93.1,98.0
2025-10-04T00:00:00Z,93.6,91.7,95.6
2025-10-05T00:00:00Z,98.7,98.2,99.2
2025-10-06T00:00:00Z,95.7,93.7,96.9
2025-10-07T00:00:00Z,96.1,93.6,97.2
2025-10-08T00:00:00Z,95.1,92.9,96.5
2025-10-09T00:00:00Z,95.3,93.3,97.0
2025-10-10T00:00:00Z,95.7,93.4,97.2
2025-10-11T00:00:00Z,95.4,93.8,96.3
2025-10-12T00:00:00Z,95.2,94.6,95.7
2025-10-13T00:00:00Z,95.6,93.6,96.7
2025-10-14T00:00:00Z,95.4,94.2,96.4
2025-10-15T00:00:00Z,95.4,94.2,96.4
2025-10-16T00:00:00Z,94.8,93.4,96.2
2025-10-17T00:00:00Z,93.8,91.8,96.2
2025-10-18T00:00:00Z,95.5,91.7,98.5
2025-10-19T00:00:00Z,95.8,94.1,97.6
2025-10-20T00:00:00Z,95.9,94.4,97.5
2025-10-21T00:00:00Z,95.3,93.5,97.1
2025-10-22T00:00:00Z,95.1,93.1,96.5
2025-10-23T00:00:00Z,99.2,98.7,99.5
2025-10-24T00:00:00Z,95.7,93.5,97.5
2025-10-25T00:00:00Z,94.7,92.4,96.5
2025-10-26T00:00:00Z,95.8,94.2,97.6
2025-10-27T00:00:00Z,95.5,93.4,96.8
2025-10-28T00:00:00Z,96.2,95.0,97.6
2025-10-29T00:00:00Z,95.8,94.9,96.5
2025-10-30T00:00:00Z,95.6,94.6,96.3
2025-10-31T00:00:00Z,94.7,92.3,96.3
2025-11-01T00:00:00Z,95.2,93.2,96.7
2025-11-02T00:00:00Z,94.9,93.6,96.0
2025-11-03T00:00:00Z,95.3,93.8,96.4
2025-11-04T00:00:00Z,95.7,94.4,96.4
2025-11-05T00:00:00Z,95.6,93.9,96.6
2025-11-06T00:00:00Z,95.2,93.3,96.4
2025-11-07T00:00:00Z,95.8,94.0,97.2
2025-11-08T00:00:00Z,95.0,92.5,96.9
2025-11-09T00:00:00Z,95.4,93.4,96.9
2025-11-10T00:00:00Z,95.7,93.8,97.2
2025-11-11T00:00:00Z,95.6,94.8,96.6
2025-11-12T00:00:00Z,95.3,93.3,97.1
2025-11-13T00:00:00Z,95.6,93.6,97.2
2025-11-15T00:00:00Z,93.9,90.9,97.0
2025-11-16T00:00:00Z,95.8,94.1,97.9
2025-11-17T00:00:00Z,94.9,92.7,96.3
2025-11-18T00:00:00Z,95.6,94.0,97.4
2025-11-19T00:00:00Z,95.4,93.7,96.9
2025-11-20T00:00:00Z,98.9,98.4,99.6
2025-11-21T00:00:00Z,95.5,93.1,97.3
