timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage,data source
2025-11-01T00:00:00Z,95.2,93.2,96.7,95.6,1.1,Charge 6
2025-11-02T00:00:00Z,94.9,93.6,96.0,95.6,1.1,Charge 6
2025-11-03T00:00:00Z,95.3,93.8,96.4,95.6,1.0,Charge 6
2025-11-04T00:00:00Z,95.7,94.4,96.4,95.5,0.8,Charge 6
2025-11-05T00:00:00Z,95.6,93.9,96.6,95.5,0.8,Charge 6
2025-11-06T00:00:00Z,95.2,93.3,96.4,95.5,0.8,Charge 6
2025-11-07T00:00:00Z,95.8,94.0,97.2,95.5,0.8,Charge 6
2025-11-08T00:00:00Z,95.0,92.5,96.9,95.5,0.8,Charge 6
2025-11-09T00:00:00Z,95.4,93.4,96.9,0.0,0.0,Charge 6
2025-11-10T00:00:00Z,95.7,93.8,97.2,95.5,0.8,Charge 6
2025-11-11T00:00:00Z,95.6,94.8,96.6,95.5,0.8,Charge 6
2025-11-12T00:00:00Z,95.3,93.3,97.1,95.5,0.8,Charge 6
2025-11-13T00:00:00Z,95.6,93.6,97.2,95.5,0.8,Charge 6
2025-11-15T00:00:00Z,93.9,90.9,97.0,95.5,0.9,Charge 6
2025-11-16T00:00:00Z,95.8,94.1,97.9,0.0,0.0,Charge 6
2025-11-17T00:00:00Z,94.9,92.7,96.3,95.5,0.8,Charge 6
2025-11-18T00:00:00Z,95.6,94.0,97.4,95.5,0.8,Charge 6
2025-11-19T00:00:00Z,95.4,93.7,96.9,95.5,0.8,Charge 6
2025-11-20T00:00:00Z,98.9,98.4,99.6,95.6,1.0,Charge 6
2025-11-21T00:00:00Z,95.5,93.1,97.3,95.6,1.0,Charge 6
2025-11-22T00:00:00Z,95.1,92.8,99.2,95.6,1.0,Charge 6
2025-11-23T00:00:00Z,95.6,94.2,96.3,95.5,0.8,Charge 6
2025-11-24T00:00:00Z,95.8,93.9,97.3,95.5,0.8,Charge 6
2025-11-25T00:00:00Z,95.6,94.4,96.9,95.5,0.8,Charge 6
2025-11-26T00:00:00Z,95.7,94.4,97.0,95.5,0.8,Charge 6
2025-11-27T00:00:00Z,95.8,94.1,99.1,95.5,0.8,Charge 6
2025-11-28T00:00:00Z,95.8,93.6,98.0,95.5,0.8,Charge 6
2025-11-29T00:00:00Z,96.0,93.1,97.8,95.5,0.8,Charge 6
