timestamp,score,type,readiness level,sleep readiness,heart rate variability readiness,resting heart rate readiness,data source
2025-08-20,67,HIGH,TYPE_UNSPECIFIED,HIGH,MEDIUM,VERY_HIGH,Fitbit App
2025-08-21,80,HIGH,TYPE_UNSPECIFIED,VERY_HIGH,HIGH,VERY_HIGH,Fitbit App
2025-08-22,17,LOW,TYPE_UNSPECIFIED,VERY_HIGH,VERY_LOW,HIGH,Fitbit App
2025-08-24,100,HIGH,TYPE_UNSPECIFIED,VERY_HIGH,VERY_HIGH,VERY_HIGH,Fitbit App
2025-08-25,58,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,HIGH,Fitbit App
2025-08-26,56,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,HIGH,Fitbit App
2025-08-27,33,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,LOW,LOW,Fitbit App
2025-08-28,52,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,LOW,Fitbit App
2025-08-29,51,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,LOW,Fitbit App
2025-08-30,63,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,LOW,Fitbit App
2025-08-31,51,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,LOW,Fitbit App
2025-09-01,62,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,LOW,Fitbit App
2025-09-02,62,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,LOW,Fitbit App
2025-09-03,65,HIGH,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,IGNORED,Fitbit App
2025-09-04,97,HIGH,TYPE_UNSPECIFIED,VERY_HIGH,VERY_HIGH,HIGH,Fitbit App
2025-09-05,77,HIGH,TYPE_UNSPECIFIED,VERY_HIGH,HIGH,HIGH,Fitbit App
2025-09-06,57,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,HIGH,Fitbit App
2025-09-07,67,HIGH,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,HIGH,Fitbit App
2025-09-08,65,HIGH,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,IGNORED,Fitbit App
2025-09-09,100,HIGH,TYPE_UNSPECIFIED,VERY_HIGH,VERY_HIGH,HIGH,Fitbit App
2025-09-10,53,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,LOW,Fitbit App
2025-09-11,62,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,LOW,Fitbit App
2025-09-12,62,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,LOW,Fitbit App
2025-09-13,62,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,LOW,Fitbit App
2025-09-14,63,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,LOW,Fitbit App
2025-09-15,63,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,LOW,Fitbit App
2025-09-16,66,HIGH,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,HIGH,Fitbit App
2025-09-17,55,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,IGNORED,Fitbit App
2025-09-18,53,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,LOW,Fitbit App
2025-09-19,53,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,LOW,Fitbit App
2025-09-20,52,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,LOW,Fitbit App
2025-09-21,52,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,LOW,Fitbit App
2025-09-22,15,LOW,TYPE_UNSPECIFIED,VERY_HIGH,VERY_LOW,VERY_LOW,Fitbit App
2025-09-23,62,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,LOW,Fitbit App
2025-09-24,15,LOW,TYPE_UNSPECIFIED,VERY_HIGH,VERY_LOW,VERY_LOW,Fitbit App
2025-09-25,82,HIGH,TYPE_UNSPECIFIED,VERY_HIGH,HIGH,LOW,Fitbit App
2025-09-26,25,LOW,TYPE_UNSPECIFIED,VERY_HIGH,LOW,VERY_LOW,Fitbit App
2025-09-27,15,LOW,TYPE_UNSPECIFIED,VERY_HIGH,VERY_LOW,VERY_LOW,Fitbit App
2025-09-28,61,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,LOW,Fitbit App
2025-09-29,65,HIGH,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,IGNORED,Fitbit App
2025-09-30,67,HIGH,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,HIGH,Fitbit App
2025-10-01,78,HIGH,TYPE_UNSPECIFIED,VERY_HIGH,HIGH,HIGH,Fitbit App
2025-10-02,67,HIGH,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,HIGH,Fitbit App
2025-10-03,57,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,HIGH,Fitbit App
2025-10-04,46,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,LOW,HIGH,Fitbit App
2025-10-05,56,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,HIGH,Fitbit App
2025-10-06,56,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,HIGH,Fitbit App
2025-10-07,68,HIGH,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,HIGH,Fitbit App
2025-10-08,68,HIGH,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,HIGH,Fitbit App
