timestamp,distance,data source
2025-08-13T06:50:00Z,5.00,Charge 6
2025-08-13T06:53:00Z,6.50,Charge 6
2025-08-13T08:29:00Z,7.20,Charge 6
2025-08-13T15:01:00Z,5.80,Charge 6
2025-08-13T15:40:00Z,10.10,Charge 6
2025-08-13T15:41:00Z,21.00,Charge 6
2025-08-13T15:42:00Z,6.50,Charge 6
2025-08-13T15:43:00Z,13.00,Charge 6
2025-08-13T15:44:00Z,7.20,Charge 6
2025-08-13T15:45:00Z,4.30,Charge 6
2025-08-13T15:46:00Z,18.10,Charge 6
2025-08-13T15:47:00Z,11.60,Charge 6
2025-08-13T15:48:00Z,5.80,Charge 6
2025-08-13T15:49:00Z,8.70,Charge 6
2025-08-13T15:51:00Z,11.60,Charge 6
2025-08-13T15:52:00Z,3.60,Charge 6
2025-08-13T15:53:00Z,6.50,Charge 6
2025-08-13T15:54:00Z,9.40,Charge 6
2025-08-13T15:56:00Z,7.20,Charge 6
2025-08-13T16:01:00Z,6.50,Charge 6
2025-08-13T16:02:00Z,10.10,Charge 6
2025-08-13T16:03:00Z,7.90,Charge 6
2025-08-13T16:04:00Z,14.50,Charge 6
2025-08-13T16:05:00Z,9.40,Charge 6
2025-08-13T16:06:00Z,10.10,Charge 6
2025-08-13T16:08:00Z,12.30,Charge 6
2025-08-13T16:09:00Z,26.10,Charge 6
2025-08-13T16:10:00Z,15.20,Charge 6
2025-08-13T16:12:00Z,18.10,Charge 6
2025-08-13T16:14:00Z,2.90,Charge 6
2025-08-13T16:15:00Z,5.00,Charge 6
2025-08-13T16:16:00Z,26.10,Charge 6
2025-08-13T16:17:00Z,2.90,Charge 6
2025-08-13T16:19:00Z,22.50,Charge 6
2025-08-13T16:20:00Z,21.70,Charge 6
2025-08-13T16:21:00Z,0.70,Charge 6
2025-08-13T16:22:00Z,5.00,Charge 6
2025-08-13T16:30:00Z,4.30,Charge 6
2025-08-13T16:34:00Z,10.10,Charge 6
2025-08-13T16:35:00Z,31.20,Charge 6
2025-08-13T16:36:00Z,21.70,Charge 6
2025-08-13T16:37:00Z,16.70,Charge 6
2025-08-13T16:38:00Z,5.80,Charge 6
2025-08-13T16:39:00Z,4.30,Charge 6
2025-08-13T16:40:00Z,17.40,Charge 6
2025-08-13T16:42:00Z,10.10,Charge 6
2025-08-13T16:48:00Z,5.00,Charge 6
2025-08-13T16:49:00Z,6.50,Charge 6
2025-08-13T16:51:00Z,3.60,Charge 6
2025-08-13T16:56:00Z,2.90,Charge 6
2025-08-13T17:02:00Z,4.30,Charge 6
2025-08-13T17:03:00Z,5.80,Charge 6
2025-08-13T17:04:00Z,27.60,Charge 6
2025-08-13T17:05:00Z,15.20,Charge 6
2025-08-13T17:06:00Z,36.23,Fitbit App
2025-08-13T17:07:00Z,27.51,Fitbit App
2025-08-13T17:08:00Z,31.54,Fitbit App
2025-08-13T17:09:00Z,34.89,Fitbit App
2025-08-13T17:10:00Z,18.10,Charge 6
2025-08-13T17:11:00Z,63.20,Charge 6
2025-08-13T17:12:00Z,60.30,Charge 6
2025-08-13T17:13:00Z,12.30,Charge 6
2025-08-13T17:28:00Z,5.00,Charge 6
2025-08-13T17:29:00Z,70.40,Charge 6
2025-08-13T17:30:00Z,64.60,Charge 6
2025-08-13T17:31:00Z,45.00,Charge 6
2025-08-13T17:32:00Z,58.80,Charge 6
2025-08-13T17:33:00Z,64.30,Charge 6
2025-08-13T17:34:00Z,61.30,Charge 6
2025-08-13T17:35:00Z,34.80,Charge 6
2025-08-13T17:36:00Z,50.10,Charge 6
2025-08-13T17:37:00Z,53.20,Charge 6
2025-08-13T17:38:00Z,36.90,Charge 6
2025-08-13T17:39:00Z,50.90,Charge 6
2025-08-13T17:40:00Z,69.70,Charge 6
