timestamp,beats per minute,data source
2025-10-15T00:00:00Z,70.0,Charge 6
2025-10-15T00:00:02Z,69.0,Charge 6
2025-10-15T00:00:04Z,70.0,Charge 6
2025-10-15T00:00:06Z,71.0,Charge 6
2025-10-15T00:00:09Z,71.0,Charge 6
2025-10-15T00:00:10Z,73.0,Charge 6
2025-10-15T00:00:12Z,72.0,Charge 6
2025-10-15T00:00:15Z,72.0,Charge 6
2025-10-15T00:00:16Z,71.0,Charge 6
2025-10-15T00:00:18Z,70.0,Charge 6
2025-10-15T00:00:21Z,70.0,Charge 6
2025-10-15T00:00:23Z,71.0,Charge 6
2025-10-15T00:00:25Z,72.0,Charge 6
2025-10-15T00:00:28Z,72.0,Charge 6
2025-10-15T00:00:31Z,71.0,Charge 6
2025-10-15T00:00:33Z,70.0,Charge 6
2025-10-15T00:00:36Z,70.0,Charge 6
2025-10-15T00:00:37Z,69.0,Charge 6
2025-10-15T00:00:40Z,69.0,Charge 6
2025-10-15T00:00:41Z,68.0,Charge 6
2025-10-15T00:00:43Z,68.0,Charge 6
2025-10-15T00:00:45Z,69.0,Charge 6
2025-10-15T00:00:46Z,68.0,Charge 6
2025-10-15T00:00:49Z,68.0,Charge 6
2025-10-15T00:00:52Z,69.0,Charge 6
2025-10-15T00:00:54Z,70.0,Charge 6
2025-10-15T00:00:56Z,70.0,Charge 6
2025-10-15T00:00:58Z,70.0,Charge 6
2025-10-15T00:01:01Z,70.0,Charge 6
2025-10-15T00:01:02Z,72.0,Charge 6
2025-10-15T00:01:05Z,72.0,Charge 6
2025-10-15T00:01:06Z,71.0,Charge 6
2025-10-15T00:01:08Z,70.0,Charge 6
2025-10-15T00:01:09Z,69.0,Charge 6
2025-10-15T00:01:11Z,68.0,Charge 6
2025-10-15T00:01:14Z,68.0,Charge 6
2025-10-15T00:01:15Z,67.0,Charge 6
2025-10-15T00:01:17Z,66.0,Charge 6
2025-10-15T00:01:19Z,65.0,Charge 6
2025-10-15T00:01:22Z,65.0,Charge 6
2025-10-15T00:01:23Z,66.0,Charge 6
2025-10-15T00:01:25Z,67.0,Charge 6
2025-10-15T00:01:27Z,69.0,Charge 6
2025-10-15T00:01:29Z,70.0,Charge 6
2025-10-15T00:01:31Z,71.0,Charge 6
2025-10-15T00:01:33Z,70.0,Charge 6
2025-10-15T00:01:34Z,69.0,Charge 6
2025-10-15T00:01:36Z,68.0,Charge 6
2025-10-15T00:01:38Z,70.0,Charge 6
2025-10-15T00:01:40Z,71.0,Charge 6
2025-10-15T00:01:42Z,72.0,Charge 6
2025-10-15T00:01:44Z,72.0,Charge 6
2025-10-15T00:01:47Z,72.0,Charge 6
2025-10-15T00:01:48Z,73.0,Charge 6
2025-10-15T00:01:50Z,74.0,Charge 6
2025-10-15T00:01:53Z,74.0,Charge 6
2025-10-15T00:01:54Z,75.0,Charge 6
2025-10-15T00:01:56Z,78.0,Charge 6
2025-10-15T00:01:57Z,80.0,Charge 6
2025-10-15T00:01:59Z,82.0,Charge 6
2025-10-15T00:02:01Z,84.0,Charge 6
2025-10-15T00:02:03Z,85.0,Charge 6
2025-10-15T00:02:05Z,86.0,Charge 6
2025-10-15T00:02:07Z,82.0,Charge 6
2025-10-15T00:02:09Z,77.0,Charge 6
2025-10-15T00:02:11Z,72.0,Charge 6
2025-10-15T00:02:14Z,72.0,Charge 6
2025-10-15T00:02:17Z,71.0,Charge 6
2025-10-15T00:02:19Z,70.0,Charge 6
2025-10-15T00:02:21Z,68.0,Charge 6
2025-10-15T00:02:24Z,69.0,Charge 6
2025-10-15T00:02:26Z,67.0,Charge 6
2025-10-15T00:02:29Z,67.0,Charge 6
2025-10-15T00:02:30Z,67.0,Charge 6
2025-10-15T00:02:32Z,66.0,Charge 6
2025-10-15T00:02:34Z,66.0,Charge 6
2025-10-15T00:02:37Z,66.0,Charge 6
2025-10-15T00:02:40Z,66.0,Charge 6
2025-10-15T00:02:43Z,66.0,Charge 6
2025-10-15T00:02:44Z,67.0,Charge 6
2025-10-15T00:02:45Z,68.0,Charge 6
2025-10-15T00:02:48Z,68.0,Charge 6
2025-10-15T00:02:51Z,68.0,Charge 6
2025-10-15T00:02:53Z,67.0,Charge 6
2025-10-15T00:02:55Z,66.0,Charge 6
2025-10-15T00:02:58Z,66.0,Charge 6
2025-10-15T00:03:01Z,66.0,Charge 6
2025-10-15T00:03:04Z,66.0,Charge 6
2025-10-15T00:03:05Z,67.0,Charge 6
2025-10-15T00:03:07Z,69.0,Charge 6
2025-10-15T00:03:10Z,70.0,Charge 6
2025-10-15T00:03:13Z,70.0,Charge 6
2025-10-15T00:03:14Z,71.0,Charge 6
2025-10-15T00:03:16Z,72.0,Charge 6
2025-10-15T00:03:19Z,72.0,Charge 6
2025-10-15T00:03:20Z,71.0,Charge 6
2025-10-15T00:03:22Z,70.0,Charge 6
2025-10-15T00:03:23Z,69.0,Charge 6
2025-10-15T00:03:25Z,68.0,Charge 6
2025-10-15T00:03:28Z,68.0,Charge 6
2025-10-15T00:03:29Z,68.0,Charge 6
2025-10-15T00:03:32Z,68.0,Charge 6
2025-10-15T00:03:33Z,68.0,Charge 6
2025-10-15T00:03:36Z,68.0,Charge 6
2025-10-15T00:03:39Z,68.0,Charge 6
2025-10-15T00:03:42Z,68.0,Charge 6
2025-10-15T00:03:43Z,69.0,Charge 6
2025-10-15T00:03:45Z,68.0,Charge 6
2025-10-15T00:03:47Z,67.0,Charge 6
2025-10-15T00:03:50Z,68.0,Charge 6
2025-10-15T00:03:52Z,70.0,Charge 6
2025-10-15T00:03:54Z,73.0,Charge 6
2025-10-15T00:03:56Z,74.0,Charge 6
2025-10-15T00:03:58Z,77.0,Charge 6
2025-10-15T00:04:00Z,79.0,Charge 6
2025-10-15T00:04:02Z,68.0,Charge 6
2025-10-15T00:04:04Z,69.0,Charge 6
2025-10-15T00:04:07Z,69.0,Charge 6
2025-10-15T00:04:10Z,69.0,Charge 6
2025-10-15T00:04:11Z,70.0,Charge 6
