timestamp,steps,distance millimeters,altitude gain millimeters,data source
2025-11-23T09:14:29Z,2,0,0,Charge 6
2025-11-23T09:14:30Z,3,210,0,Charge 6
2025-11-23T09:14:31Z,3,530,0,Charge 6
2025-11-23T09:14:32Z,3,910,0,Charge 6
2025-11-23T09:14:33Z,3,1320,0,Charge 6
2025-11-23T09:14:34Z,3,3100,0,Charge 6
2025-11-23T09:14:35Z,3,3470,0,Charge 6
2025-11-23T09:14:36Z,3,3650,0,Charge 6
2025-11-23T09:14:37Z,3,3650,0,Charge 6
2025-11-23T09:14:38Z,2,3620,0,Charge 6
2025-11-23T09:14:39Z,3,3600,0,Charge 6
2025-11-23T09:14:40Z,3,3600,0,Charge 6
2025-11-23T09:14:41Z,2,3460,0,Charge 6
2025-11-23T09:14:42Z,3,3390,0,Charge 6
2025-11-23T09:14:43Z,3,3490,0,Charge 6
2025-11-23T09:14:44Z,2,3410,0,Charge 6
2025-11-23T09:14:45Z,3,3360,0,Charge 6
2025-11-23T09:14:46Z,3,3480,0,Charge 6
2025-11-23T09:14:47Z,3,3530,0,Charge 6
2025-11-23T09:14:48Z,2,3430,0,Charge 6
2025-11-23T09:14:49Z,3,3510,0,Charge 6
2025-11-23T09:14:50Z,3,3550,0,Charge 6
2025-11-23T09:14:51Z,3,3560,0,Charge 6
2025-11-23T09:14:52Z,3,3570,0,Charge 6
2025-11-23T09:14:53Z,3,3580,0,Charge 6
2025-11-23T09:14:54Z,2,3590,0,Charge 6
2025-11-23T09:14:55Z,3,3590,0,Charge 6
2025-11-23T09:14:56Z,3,3580,0,Charge 6
2025-11-23T09:14:57Z,3,3590,0,Charge 6
2025-11-23T09:14:58Z,3,3580,0,Charge 6
2025-11-23T09:14:59Z,3,3610,0,Charge 6
2025-11-23T09:15:00Z,3,3600,0,Charge 6
2025-11-23T09:15:01Z,2,3610,0,Charge 6
2025-11-23T09:15:02Z,3,3700,0,Charge 6
2025-11-23T09:15:03Z,3,3690,0,Charge 6
2025-11-23T09:15:04Z,3,3720,0,Charge 6
2025-11-23T09:15:05Z,3,3740,0,Charge 6
2025-11-23T09:15:06Z,3,3770,0,Charge 6
2025-11-23T09:15:07Z,3,3810,0,Charge 6
2025-11-23T09:15:08Z,3,3830,0,Charge 6
2025-11-23T09:15:09Z,3,3880,0,Charge 6
2025-11-23T09:15:10Z,3,3860,0,Charge 6
2025-11-23T09:15:11Z,2,3850,0,Charge 6
2025-11-23T09:15:12Z,3,3850,0,Charge 6
2025-11-23T09:15:13Z,3,3830,0,Charge 6
2025-11-23T09:15:14Z,3,3820,0,Charge 6
