timestamp,oxygen saturation percentage,data source
2025-08-13T07:14:03Z,95.2,Charge 6
2025-08-13T07:15:03Z,95.2,Charge 6
2025-08-13T07:16:03Z,95.1,Charge 6
2025-08-13T07:17:03Z,95.2,Charge 6
2025-08-13T07:18:03Z,95.1,Charge 6
2025-08-13T07:20:03Z,97.4,Charge 6
2025-08-13T07:21:03Z,96.7,Charge 6
2025-08-13T07:22:03Z,96.2,Charge 6
2025-08-13T07:23:03Z,95.9,Charge 6
2025-08-13T07:24:03Z,95.7,Charge 6
2025-08-13T07:25:03Z,95.5,Charge 6
2025-08-13T07:26:03Z,95.4,Charge 6
2025-08-13T07:28:03Z,95.4,Charge 6
2025-08-13T07:29:03Z,95.8,Charge 6
2025-08-13T07:30:03Z,96.0,Charge 6
2025-08-13T07:31:03Z,96.2,Charge 6
2025-08-13T07:32:03Z,96.3,Charge 6
2025-08-13T07:33:03Z,96.4,Charge 6
2025-08-13T07:34:03Z,96.5,Charge 6
2025-08-13T07:35:03Z,96.6,Charge 6
2025-08-13T07:36:03Z,96.7,Charge 6
2025-08-13T07:38:03Z,96.7,Charge 6
2025-08-13T07:39:03Z,96.7,Charge 6
2025-08-13T07:40:03Z,96.6,Charge 6
2025-08-13T07:41:03Z,96.4,Charge 6
2025-08-13T07:42:03Z,96.2,Charge 6
2025-08-13T07:43:03Z,96.2,Charge 6
2025-08-13T07:44:03Z,96.3,Charge 6
2025-08-13T07:45:03Z,96.3,Charge 6
2025-08-13T07:46:03Z,96.3,Charge 6
2025-08-13T07:47:03Z,96.4,Charge 6
2025-08-13T07:48:03Z,96.4,Charge 6
2025-08-13T07:49:03Z,96.4,Charge 6
2025-08-13T07:50:03Z,96.4,Charge 6
2025-08-13T07:51:03Z,96.2,Charge 6
2025-08-13T07:52:03Z,95.4,Charge 6
2025-08-13T07:53:03Z,94.9,Charge 6
2025-08-13T07:54:03Z,94.5,Charge 6
2025-08-13T07:55:03Z,94.2,Charge 6
2025-08-13T07:56:03Z,94.2,Charge 6
2025-08-13T07:57:03Z,94.1,Charge 6
2025-08-13T07:58:03Z,94.1,Charge 6
2025-08-13T07:59:03Z,94.2,Charge 6
2025-08-13T08:00:03Z,94.2,Charge 6
2025-08-13T08:01:03Z,94.2,Charge 6
2025-08-13T08:02:03Z,94.2,Charge 6
2025-08-13T08:03:03Z,94.3,Charge 6
2025-08-13T08:04:03Z,94.2,Charge 6
2025-08-13T08:05:03Z,94.2,Charge 6
2025-08-13T08:06:03Z,94.3,Charge 6
2025-08-13T08:07:03Z,94.4,Charge 6
2025-08-13T08:08:03Z,94.4,Charge 6
2025-08-13T08:09:03Z,94.5,Charge 6
2025-08-13T08:10:03Z,94.5,Charge 6
2025-08-13T08:11:03Z,94.5,Charge 6
2025-08-13T08:12:03Z,94.5,Charge 6
2025-08-13T08:13:03Z,94.6,Charge 6
2025-08-13T08:14:03Z,94.7,Charge 6
2025-08-13T08:15:03Z,94.7,Charge 6
2025-08-13T08:16:03Z,94.9,Charge 6
2025-08-13T08:17:03Z,95.1,Charge 6
2025-08-13T08:18:03Z,95.2,Charge 6
2025-08-13T08:20:03Z,95.2,Charge 6
2025-08-13T08:21:03Z,95.6,Charge 6
2025-08-13T08:22:03Z,95.7,Charge 6
2025-08-13T08:23:03Z,95.9,Charge 6
2025-08-13T08:25:03Z,96.1,Charge 6
2025-08-13T08:26:03Z,96.1,Charge 6
2025-08-13T08:27:03Z,96.1,Charge 6
2025-08-13T08:30:03Z,96.0,Charge 6
2025-08-13T08:31:03Z,95.4,Charge 6
2025-08-13T08:32:03Z,95.0,Charge 6
2025-08-13T08:33:03Z,95.0,Charge 6
2025-08-13T08:34:03Z,94.9,Charge 6
2025-08-13T08:35:03Z,94.8,Charge 6
2025-08-13T08:36:03Z,94.8,Charge 6
2025-08-13T08:37:03Z,94.8,Charge 6
2025-08-13T08:38:03Z,94.9,Charge 6
2025-08-13T08:39:03Z,95.0,Charge 6
2025-08-13T08:40:03Z,95.2,Charge 6
2025-08-13T08:41:03Z,95.3,Charge 6
2025-08-13T08:42:03Z,95.4,Charge 6
2025-08-13T08:43:03Z,95.5,Charge 6
2025-08-13T08:44:03Z,95.6,Charge 6
2025-08-13T08:45:03Z,95.7,Charge 6
2025-08-13T08:46:03Z,95.7,Charge 6
2025-08-13T08:47:03Z,95.7,Charge 6
2025-08-13T08:48:03Z,95.8,Charge 6
2025-08-13T08:49:03Z,95.8,Charge 6
2025-08-13T08:50:03Z,95.8,Charge 6
2025-08-13T08:51:03Z,95.8,Charge 6
2025-08-13T08:52:03Z,95.8,Charge 6
2025-08-13T08:53:03Z,95.9,Charge 6
2025-08-13T08:54:03Z,95.9,Charge 6
2025-08-13T08:55:03Z,95.9,Charge 6
2025-08-13T08:58:03Z,96.3,Charge 6
2025-08-13T08:59:03Z,96.5,Charge 6
2025-08-13T09:01:03Z,96.3,Charge 6
2025-08-13T09:02:03Z,95.9,Charge 6
2025-08-13T09:03:03Z,95.6,Charge 6
2025-08-13T09:04:03Z,95.4,Charge 6
2025-08-13T09:05:03Z,95.3,Charge 6
2025-08-13T09:06:03Z,95.2,Charge 6
2025-08-13T09:07:03Z,95.2,Charge 6
2025-08-13T09:08:03Z,95.1,Charge 6
2025-08-13T09:09:03Z,95.0,Charge 6
2025-08-13T09:10:03Z,95.0,Charge 6
2025-08-13T09:11:03Z,95.1,Charge 6
2025-08-13T09:14:03Z,95.4,Charge 6
2025-08-13T09:15:03Z,95.8,Charge 6
2025-08-13T09:16:03Z,96.2,Charge 6
2025-08-13T09:17:03Z,96.5,Charge 6
2025-08-13T09:18:03Z,96.7,Charge 6
2025-08-13T09:19:03Z,96.9,Charge 6
2025-08-13T09:20:03Z,97.1,Charge 6
2025-08-13T09:21:03Z,97.2,Charge 6
2025-08-13T09:22:03Z,97.3,Charge 6
2025-08-13T09:23:03Z,97.4,Charge 6
2025-08-13T09:24:03Z,97.5,Charge 6
2025-08-13T09:25:03Z,97.5,Charge 6
2025-08-13T09:26:03Z,97.5,Charge 6
2025-08-13T09:27:03Z,97.5,Charge 6
2025-08-13T09:28:03Z,97.5,Charge 6
2025-08-13T09:29:03Z,97.5,Charge 6
2025-08-13T09:30:03Z,97.5,Charge 6
2025-08-13T09:31:03Z,97.3,Charge 6
2025-08-13T09:32:03Z,97.4,Charge 6
2025-08-13T09:33:03Z,97.4,Charge 6
2025-08-13T09:34:03Z,97.3,Charge 6
2025-08-13T09:35:03Z,97.4,Charge 6
2025-08-13T09:36:03Z,97.3,Charge 6
2025-08-13T09:38:03Z,97.0,Charge 6
2025-08-13T09:39:03Z,96.6,Charge 6
2025-08-13T09:40:03Z,96.3,Charge 6
2025-08-13T09:41:03Z,96.4,Charge 6
2025-08-13T09:42:03Z,96.3,Charge 6
2025-08-13T09:43:03Z,96.2,Charge 6
2025-08-13T09:44:03Z,96.2,Charge 6
2025-08-13T09:45:03Z,96.2,Charge 6
2025-08-13T09:46:03Z,96.4,Charge 6
2025-08-13T09:47:03Z,96.5,Charge 6
