start time,end time,data source
2025-10-11T01:41:00Z,2025-10-11T02:09:00Z,Fitbit App
2025-10-11T05:34:00Z,2025-10-11T05:52:00Z,Fitbit App
2025-10-11T05:58:00Z,2025-10-11T06:13:00Z,Fitbit App
2025-10-11T06:28:00Z,2025-10-11T07:00:00Z,Fitbit App
2025-10-11T07:23:00Z,2025-10-11T08:00:00Z,Fitbit App
2025-10-11T14:54:00Z,2025-10-11T15:08:00Z,Fitbit App
2025-10-11T15:14:00Z,2025-10-11T15:32:00Z,Fitbit App
2025-10-11T18:51:00Z,2025-10-11T19:07:00Z,Fitbit App
2025-10-11T20:18:00Z,2025-10-11T20:29:00Z,Fitbit App
2025-10-11T20:53:00Z,2025-10-11T21:37:00Z,Fitbit App
2025-10-11T21:49:00Z,2025-10-12T01:14:00Z,Fitbit App
