timestamp,steps,data source
2025-11-01T00:02:00Z,23,Charge 6
2025-11-01T00:03:00Z,18,Charge 6
2025-11-01T00:06:00Z,18,Charge 6
2025-11-01T00:07:00Z,32,Charge 6
2025-11-01T00:11:00Z,9,Charge 6
2025-11-01T00:12:00Z,16,Charge 6
2025-11-01T00:29:00Z,6,Charge 6
2025-11-01T01:50:00Z,7,Charge 6
2025-11-01T02:10:00Z,27,Charge 6
2025-11-01T02:11:00Z,10,Charge 6
2025-11-01T02:12:00Z,7,Charge 6
2025-11-01T02:14:00Z,28,Charge 6
2025-11-01T02:15:00Z,46,Charge 6
2025-11-01T02:16:00Z,21,Charge 6
2025-11-01T02:17:00Z,12,Charge 6
2025-11-01T02:22:00Z,6,Charge 6
2025-11-01T02:24:00Z,8,Charge 6
2025-11-01T02:54:00Z,14,Charge 6
2025-11-01T02:56:00Z,6,Charge 6
2025-11-01T02:57:00Z,8,Charge 6
2025-11-01T03:00:00Z,6,Charge 6
2025-11-01T03:09:00Z,4,Charge 6
2025-11-01T03:10:00Z,10,Charge 6
2025-11-01T03:11:00Z,7,Charge 6
2025-11-01T03:12:00Z,13,Charge 6
2025-11-01T03:15:00Z,15,Charge 6
2025-11-01T03:16:00Z,10,Charge 6
2025-11-01T03:18:00Z,48,Charge 6
2025-11-01T03:20:00Z,40,Charge 6
2025-11-01T03:21:00Z,39,Charge 6
2025-11-01T03:22:00Z,40,Charge 6
2025-11-01T03:23:00Z,6,Charge 6
2025-11-01T03:29:00Z,27,Charge 6
2025-11-01T03:31:00Z,11,Charge 6
2025-11-01T03:32:00Z,13,Charge 6
2025-11-01T03:33:00Z,4,Charge 6
2025-11-01T03:35:00Z,20,Charge 6
2025-11-01T03:37:00Z,12,Charge 6
2025-11-01T03:38:00Z,23,Charge 6
2025-11-01T03:40:00Z,33,Charge 6
2025-11-01T03:41:00Z,33,Charge 6
2025-11-01T03:42:00Z,7,Charge 6
2025-11-01T03:43:00Z,36,Charge 6
2025-11-01T03:44:00Z,30,Charge 6
2025-11-01T03:45:00Z,8,Charge 6
2025-11-01T03:46:00Z,33,Charge 6
2025-11-01T03:47:00Z,32,Charge 6
2025-11-01T03:49:00Z,8,Charge 6
2025-11-01T03:50:00Z,17,Charge 6
2025-11-01T03:51:00Z,37,Charge 6
2025-11-01T03:54:00Z,5,Charge 6
2025-11-01T04:01:00Z,20,Charge 6
2025-11-01T04:02:00Z,26,Charge 6
2025-11-01T04:03:00Z,64,Charge 6
2025-11-01T04:04:00Z,13,Charge 6
2025-11-01T04:07:00Z,12,Charge 6
2025-11-01T04:08:00Z,11,Charge 6
2025-11-01T04:10:00Z,9,Charge 6
2025-11-01T04:11:00Z,6,Charge 6
2025-11-01T04:12:00Z,21,Charge 6
2025-11-01T04:13:00Z,22,Charge 6
2025-11-01T04:14:00Z,37,Charge 6
2025-11-01T04:20:00Z,31,Charge 6
2025-11-01T04:22:00Z,10,Charge 6
2025-11-01T04:26:00Z,16,Charge 6
2025-11-01T04:27:00Z,8,Charge 6
2025-11-01T04:28:00Z,10,Charge 6
2025-11-01T04:30:00Z,7,Charge 6
2025-11-01T04:31:00Z,25,Charge 6
2025-11-01T04:32:00Z,19,Charge 6
2025-11-01T04:33:00Z,12,Charge 6
2025-11-01T04:34:00Z,26,Charge 6
2025-11-01T04:35:00Z,37,Charge 6
2025-11-01T04:36:00Z,12,Charge 6
2025-11-01T04:37:00Z,29,Charge 6
2025-11-01T04:38:00Z,12,Charge 6
2025-11-01T04:40:00Z,39,Charge 6
2025-11-01T04:41:00Z,47,Charge 6
2025-11-01T04:42:00Z,7,Charge 6
2025-11-01T04:44:00Z,31,Charge 6
2025-11-01T04:45:00Z,19,Charge 6
2025-11-01T04:46:00Z,13,Charge 6
2025-11-01T05:27:00Z,14,Charge 6
2025-11-01T05:29:00Z,7,Charge 6
2025-11-01T05:30:00Z,14,Charge 6
2025-11-01T05:49:00Z,7,Charge 6
2025-11-01T05:52:00Z,21,Charge 6
2025-11-01T05:55:00Z,29,Charge 6
2025-11-01T05:57:00Z,41,Charge 6
2025-11-01T05:59:00Z,9,Charge 6
2025-11-01T06:00:00Z,21,Charge 6
2025-11-01T06:01:00Z,52,Charge 6
2025-11-01T06:02:00Z,56,Charge 6
2025-11-01T06:03:00Z,6,Charge 6
2025-11-01T06:04:00Z,13,Charge 6
2025-11-01T06:05:00Z,9,Charge 6
2025-11-01T06:06:00Z,12,Charge 6
2025-11-01T06:07:00Z,5,Charge 6
2025-11-01T06:08:00Z,55,Charge 6
2025-11-01T06:09:00Z,17,Charge 6
2025-11-01T06:13:00Z,10,Charge 6
2025-11-01T06:19:00Z,13,Charge 6
2025-11-01T06:20:00Z,31,Charge 6
2025-11-01T06:21:00Z,10,Charge 6
2025-11-01T06:22:00Z,10,Charge 6
2025-11-01T06:24:00Z,16,Charge 6
2025-11-01T06:25:00Z,13,Charge 6
2025-11-01T06:29:00Z,39,Charge 6
2025-11-01T06:30:00Z,13,Charge 6
2025-11-01T06:31:00Z,10,Charge 6
2025-11-01T06:32:00Z,30,Charge 6
2025-11-01T06:33:00Z,32,Charge 6
2025-11-01T06:34:00Z,32,Charge 6
2025-11-01T06:35:00Z,28,Charge 6
2025-11-01T06:36:00Z,17,Charge 6
2025-11-01T06:37:00Z,58,Charge 6
2025-11-01T06:47:00Z,53,Charge 6
2025-11-01T07:38:00Z,4,Charge 6
2025-11-01T09:00:00Z,15,Charge 6
2025-11-01T09:37:00Z,7,Charge 6
2025-11-01T09:38:00Z,15,Charge 6
2025-11-01T11:53:00Z,11,Charge 6
2025-11-01T13:14:00Z,7,Charge 6
2025-11-01T13:33:00Z,18,Charge 6
2025-11-01T13:34:00Z,5,Charge 6
2025-11-01T13:45:00Z,21,Charge 6
2025-11-01T13:46:00Z,39,Charge 6
2025-11-01T14:15:00Z,10,Charge 6
2025-11-01T14:49:00Z,34,Charge 6
2025-11-01T14:54:00Z,9,Charge 6
2025-11-01T14:55:00Z,12,Charge 6
2025-11-01T14:56:00Z,51,Charge 6
2025-11-01T14:58:00Z,10,Charge 6
2025-11-01T14:59:00Z,22,Charge 6
2025-11-01T15:10:00Z,7,Charge 6
2025-11-01T15:11:00Z,13,Charge 6
2025-11-01T15:12:00Z,25,Charge 6
2025-11-01T15:13:00Z,52,Charge 6
2025-11-01T15:14:00Z,46,Charge 6
2025-11-01T15:15:00Z,28,Charge 6
2025-11-01T15:16:00Z,30,Charge 6
2025-11-01T15:17:00Z,53,Charge 6
2025-11-01T15:18:00Z,63,Charge 6
2025-11-01T15:20:00Z,9,Charge 6
2025-11-01T15:37:00Z,11,Charge 6
2025-11-01T15:38:00Z,90,Charge 6
2025-11-01T15:39:00Z,104,Charge 6
2025-11-01T15:40:00Z,84,Charge 6
2025-11-01T15:41:00Z,20,Charge 6
2025-11-01T15:42:00Z,24,Charge 6
2025-11-01T15:43:00Z,55,Charge 6
2025-11-01T15:44:00Z,48,Charge 6
2025-11-01T15:45:00Z,51,Charge 6
2025-11-01T15:46:00Z,76,Charge 6
2025-11-01T15:47:00Z,101,Charge 6
2025-11-01T15:48:00Z,96,Charge 6
2025-11-01T15:49:00Z,52,Charge 6
2025-11-01T15:50:00Z,65,Charge 6
2025-11-01T15:51:00Z,107,Charge 6
2025-11-01T15:52:00Z,7,Charge 6
2025-11-01T15:53:00Z,13,Charge 6
2025-11-01T15:54:00Z,115,Charge 6
2025-11-01T15:55:00Z,121,Charge 6
2025-11-01T15:56:00Z,75,Charge 6
2025-11-01T15:57:00Z,21,Charge 6
2025-11-01T15:59:00Z,46,Charge 6
2025-11-01T16:00:00Z,4,Charge 6
2025-11-01T16:01:00Z,48,Charge 6
2025-11-01T16:02:00Z,92,Charge 6
2025-11-01T16:03:00Z,73,Charge 6
2025-11-01T16:04:00Z,93,Charge 6
2025-11-01T16:05:00Z,81,Charge 6
2025-11-01T16:06:00Z,101,Charge 6
2025-11-01T16:07:00Z,41,Charge 6
2025-11-01T16:08:00Z,42,Charge 6
2025-11-01T16:09:00Z,82,Charge 6
2025-11-01T16:10:00Z,76,Charge 6
2025-11-01T16:11:00Z,112,Charge 6
